timestamp,date (UTC),NO2 (ppb),VOC (ppb),pm 10 (ug/m3),pm 2.5 (ug/m3),NO2 (Plume AQI),VOC (Plume AQI),pm 10 (Plume AQI),pm 2.5 (Plume AQI)
1645566955,2022-02-22 21:55:55,2,155,1,1,2,12,1,2
1645567015,2022-02-22 21:56:55,4,154,2,1,3,12,2,2
1645567075,2022-02-22 21:57:55,5,153,2,1,5,12,2,2
1645567135,2022-02-22 21:58:55,7,153,2,1,6,12,2,2
1645567195,2022-02-22 21:59:55,8,153,2,1,8,12,2,2
1645567255,2022-02-22 22:00:55,10,151,2,1,9,12,2,2
1645567315,2022-02-22 22:01:55,10,152,2,1,10,12,2,2
1645567375,2022-02-22 22:02:55,12,153,2,1,12,12,2,2
1645567435,2022-02-22 22:03:55,14,152,2,1,13,12,2,2
1645567495,2022-02-22 22:04:55,14,153,2,1,13,12,2,2
1645567555,2022-02-22 22:05:55,15,151,2,,15,12,2,0
1645567615,2022-02-22 22:06:55,17,150,2,1,16,12,2,2
1645567675,2022-02-22 22:07:55,17,153,2,1,16,12,2,2
1645567735,2022-02-22 22:08:55,19,154,2,1,17,12,2,2
1645567795,2022-02-22 22:09:55,20,152,2,1,19,12,2,2
1645567855,2022-02-22 22:10:55,21,156,2,1,20,12,2,2
1645567915,2022-02-22 22:11:55,24,153,2,1,24,12,2,2
1645567975,2022-02-22 22:12:55,19,154,10054.56.00,10801.28.00,18,12,31,43
1645568035,2022-02-22 22:13:55,21,154,10802.28.00,1,20,12,23,2
1645568095,2022-02-22 22:14:55,22,153,2,1,21,12,2,2
1645568155,2022-02-22 22:15:55,23,153,2,1,22,12,2,2
1645568215,2022-02-22 22:16:55,26,152,2,12128.03.00,27,12,2,19
1645568275,2022-02-22 22:17:55,39,149,101.36.00,10121.58.00,45,12,21,23
1645568335,2022-02-22 22:18:55,44,149,9681.56.00,86.34.00,51,12,50,33
1645568395,2022-02-22 22:19:55,52,150,87.34.00,6035.01.00,57,12,17,37
1645568455,2022-02-22 22:20:55,58,150,10000.26.00,9411.32.00,62,12,20,19
1645568515,2022-02-22 22:21:55,70,149,1004.48.00,10397.35.00,72,12,13,19
1645568575,2022-02-22 22:22:55,68,155,10398.35.00,9821.52.00,70,12,11,27
1645568635,2022-02-22 22:23:55,80,154,12232.42.00,14541.46.00,79,12,28,48
1645568695,2022-02-22 22:24:55,90,154,16583.19.00,14255.25.00,88,12,27,18
1645568755,2022-02-22 22:25:55,95,157,1599.56.00,15265.16.00,91,13,41,40
1645568815,2022-02-22 22:26:55,21,221,15266.16.00,2366.31.00,19,18,21,50
1645568875,2022-02-22 22:27:55,21,159,299.12.00,11115.55.00,20,13,31,25
1645568935,2022-02-22 22:28:55,28,151,11116.55.00,9946.02.00,29,12,14,33
1645568995,2022-02-22 22:29:55,42,154,753.37.00,11844.56.00,49,12,32,37
1645569055,2022-02-22 22:30:55,49,154,11919.44.00,86247.15.00,55,12,26,27
1645569115,2022-02-22 22:31:55,69,154,2148.03.00,4811.21.00,71,12,45,31
1645569175,2022-02-22 22:32:55,86,157,495.38.00,10185.15.00,84,13,16,41
1645569235,2022-02-22 22:33:55,89,156,7814.01.00,5174.59.00,87,12,26,57
1645569295,2022-02-22 22:34:55,99,155,8958.38.00,1083.24.00,94,12,34,27
1645569355,2022-02-22 22:35:55,108,155,865.48.00,7082.08.00,101,12,45,43
1645569415,2022-02-22 22:36:55,116,153,285.35.00,237.42.00,105,12,102,42
1645569475,2022-02-22 22:37:55,119,153,10368.02.00,96679.45.00,106,12,23,31
1645569535,2022-02-22 22:38:55,123,156,9682.28.00,16288.14.00,108,12,17,36
1645569595,2022-02-22 22:39:55,128,156,454.58.00,5388.55.00,110,12,29,57
1645569655,2022-02-22 22:40:55,141,156,5389.55.00,1220.36.00,116,12,29,41
1645569715,2022-02-22 22:41:55,147,155,1221.36.00,15286.06.00,119,12,22,46
1645569775,2022-02-22 22:42:55,150,155,15287.06.00,330.21.00,121,12,24,46
1645569835,2022-02-22 22:43:55,156,157,331.21.00,9910.45.00,123,13,24,37
1645569895,2022-02-22 22:44:55,159,153,9911.45.00,2693.52.00,125,12,20,34
1645569955,2022-02-22 22:45:55,165,157,2694.52.00,654.16.00,128,13,18,38
1645570015,2022-02-22 22:46:55,159,155,9338.47.00,11318.56.00,125,12,22,43
1645570075,2022-02-22 22:47:55,159,157,11319.56.00,1065.04.00,125,13,23,41
1645570135,2022-02-22 22:48:55,165,156,9011.48.00,20.49,128,12,44,38
1645570195,2022-02-22 22:49:55,165,155,8815.17.00,12425.14.00,128,12,33,45
1645570255,2022-02-22 22:50:55,172,155,158.22.00,2778.15.00,131,12,97,40
1645570315,2022-02-22 22:51:55,178,155,11805.33.00,9646.16.00,134,12,30,41
1645570375,2022-02-22 22:52:55,175,155,1787.02.00,16212.51.00,132,12,24,38
1645570435,2022-02-22 22:53:55,181,156,13881.46.00,1303.39.00,135,12,29,40
1645570495,2022-02-22 22:54:55,184,153,6116.07.00,5302.42.00,137,12,52,43
1645570555,2022-02-22 22:55:55,189,156,383.45.00,3312.18.00,139,12,35,34
1645570615,2022-02-22 22:56:55,194,155,14292.36.00,9494.24.00,141,12,71,45
1645570675,2022-02-22 22:57:55,195,156,6470.07.00,13109.58.00,142,12,36,42
1645570735,2022-02-22 22:58:55,195,156,292.14.00,7288.12.00,142,12,37,39
1645570795,2022-02-22 22:59:55,199,156,1242.53.00,8590.43.00,143,12,85,47
1645570855,2022-02-22 23:00:55,202,157,8591.43.00,15286.33.00,145,13,25,34
1645570915,2022-02-22 23:01:55,209,156,15894.12.00,13912.18.00,148,12,19,42
1645570975,2022-02-22 23:02:55,209,156,4627.04.00,14828.47.00,148,12,30,38
1645571035,2022-02-22 23:03:55,215,154,14829.47.00,4691.22.00,151,12,20,43
1645571095,2022-02-22 23:04:55,209,155,7187.12.00,76.33.00,148,12,48,44
1645571155,2022-02-22 23:05:55,209,155,1166.29.00,116.19.00,148,12,105,51
1645571215,2022-02-22 23:06:55,209,0,,,148,0,0,0
1645571275,2022-02-22 23:07:55,211,154,964.53.00,11359.46.00,149,12,47,47
1645571335,2022-02-22 23:08:55,218,155,16657.17.00,339.18.00,152,12,47,50
1645571395,2022-02-22 23:09:55,219,153,8618.08.00,13102.15.00,153,12,32,46
1645571455,2022-02-22 23:10:55,221,154,13103.15.00,11119.45.00,154,12,24,49
1645571515,2022-02-22 23:11:55,224,154,300.14.00,2292.37.00,155,12,31,36
