timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)"
1645566955,"2022-02-22 21:55:55",2,155,1,1,2,12,1,2
1645567015,"2022-02-22 21:56:55",4,154,2,1,3,12,2,2
1645567075,"2022-02-22 21:57:55",5,153,2,1,5,12,2,2
1645567135,"2022-02-22 21:58:55",7,153,2,1,6,12,2,2
1645567195,"2022-02-22 21:59:55",8,153,2,1,8,12,2,2
1645567255,"2022-02-22 22:00:55",10,151,2,1,9,12,2,2
1645567315,"2022-02-22 22:01:55",10,152,2,1,10,12,2,2
1645567375,"2022-02-22 22:02:55",12,153,2,1,12,12,2,2
1645567435,"2022-02-22 22:03:55",14,152,2,1,13,12,2,2
1645567495,"2022-02-22 22:04:55",14,153,2,1,13,12,2,2
1645567555,"2022-02-22 22:05:55",15,151,2,,15,12,2,0
1645567615,"2022-02-22 22:06:55",17,150,2,1,16,12,2,2
1645567675,"2022-02-22 22:07:55",17,153,2,1,16,12,2,2
1645567735,"2022-02-22 22:08:55",19,154,2,1,17,12,2,2
1645567795,"2022-02-22 22:09:55",20,152,2,1,19,12,2,2
1645567855,"2022-02-22 22:10:55",21,156,2,1,20,12,2,2
1645567915,"2022-02-22 22:11:55",24,153,2,1,24,12,2,2
1645567975,"2022-02-22 22:12:55",19,154,30.601496,21.646828,18,12,31,43
1645568035,"2022-02-22 22:13:55",21,154,22.646828,1,20,12,23,2
1645568095,"2022-02-22 22:14:55",22,153,2,1,21,12,2,2
1645568155,"2022-02-22 22:15:55",23,153,2,1,22,12,2,2
1645568215,"2022-02-22 22:16:55",26,152,2,9.727143,27,12,2,19
1645568275,"2022-02-22 22:17:55",39,149,21.04836,11.606658,45,12,21,23
1645568335,"2022-02-22 22:18:55",44,149,49.577976,16.4234,51,12,50,33
1645568395,"2022-02-22 22:19:55",52,150,17.4234,18.361021,57,12,17,37
1645568455,"2022-02-22 22:20:55",58,150,19.598886,9.564152,62,12,20,19
1645568515,"2022-02-22 22:21:55",70,149,12.59568,9.623315,72,12,13,19
1645568575,"2022-02-22 22:22:55",68,155,10.623315,13.588532,70,12,11,27
1645568635,"2022-02-22 22:23:55",80,154,27.732342,23.871126,79,12,28,48
1645568695,"2022-02-22 22:24:55",90,154,26.993439,8.854845,88,12,27,18
1645568755,"2022-02-22 22:25:55",95,157,41.093536,19.914776,91,13,41,40
1645568815,"2022-02-22 22:26:55",21,221,20.914776,25.140491,19,18,21,50
1645568875,"2022-02-22 22:27:55",21,159,31.16092,12.666235,20,13,31,25
1645568935,"2022-02-22 22:28:55",28,151,13.666235,16.595802,29,12,14,33
1645568995,"2022-02-22 22:29:55",42,154,32.43297,18.709616,49,12,32,37
1645569055,"2022-02-22 22:30:55",49,154,25.713684,13.5174055,55,12,26,27
1645569115,"2022-02-22 22:31:55",69,154,45.126183,15.287781,71,12,45,31
1645569175,"2022-02-22 22:32:55",86,157,16.28778,20.609915,84,13,16,41
1645569235,"2022-02-22 22:33:55",89,156,26.467281,28.308819,87,12,26,57
1645569295,"2022-02-22 22:34:55",99,155,33.535538,13.64224,94,12,34,27
1645569355,"2022-02-22 22:35:55",108,155,45.049248,21.423668,101,12,45,43
1645569415,"2022-02-22 22:36:55",116,153,83.12155,21.013002,105,12,102,42
1645569475,"2022-02-22 22:37:55",119,153,22.620762,15.5799885,106,12,23,31
1645569535,"2022-02-22 22:38:55",123,156,16.579988,17.976274,108,12,17,36
1645569595,"2022-02-22 22:39:55",128,156,29.025558,28.321655,110,12,29,57
1645569655,"2022-02-22 22:40:55",141,156,29.321655,20.72036,116,12,29,41
1645569715,"2022-02-22 22:41:55",147,155,21.72036,22.915846,119,12,22,46
1645569775,"2022-02-22 22:42:55",150,155,23.915846,23.18441,121,12,24,46
1645569835,"2022-02-22 22:43:55",156,157,24.18441,18.593565,123,13,24,37
1645569895,"2022-02-22 22:44:55",159,153,19.593565,17.160612,125,12,20,34
1645569955,"2022-02-22 22:45:55",165,157,18.160612,19.038116,128,13,18,38
1645570015,"2022-02-22 22:46:55",159,155,21.559067,21.677876,125,12,22,43
1645570075,"2022-02-22 22:47:55",159,157,22.677876,20.62704,125,13,23,41
1645570135,"2022-02-22 22:48:55",165,156,43.538128,19.109,128,12,44,38
1645570195,"2022-02-22 22:49:55",165,155,32.526997,22.744194,128,12,33,45
1645570255,"2022-02-22 22:50:55",172,155,78.4822,20.165495,131,12,97,40
1645570315,"2022-02-22 22:51:55",178,155,29.706593,20.577576,134,12,30,41
1645570375,"2022-02-22 22:52:55",175,155,24.105782,18.971691,132,12,24,38
1645570435,"2022-02-22 22:53:55",181,156,28.831226,20.077019,135,12,29,40
1645570495,"2022-02-22 22:54:55",184,153,51.363907,21.316902,137,12,52,43
1645570555,"2022-02-22 22:55:55",189,156,35.20925,17.197718,139,12,35,34
1645570615,"2022-02-22 22:56:55",194,155,62.853836,22.568344,141,12,71,45
1645570675,"2022-02-22 22:57:55",195,156,36.386047,20.785398,142,12,36,42
1645570735,"2022-02-22 22:58:55",195,156,37.15314,19.436152,142,12,37,39
1645570795,"2022-02-22 22:59:55",199,156,70.70373,23.514063,143,12,85,47
1645570855,"2022-02-22 23:00:55",202,157,24.514063,16.916233,145,13,25,34
1645570915,"2022-02-22 23:01:55",209,156,18.952572,20.833538,148,12,19,42
1645570975,"2022-02-22 23:02:55",209,156,30.275824,18.888647,148,12,30,38
1645571035,"2022-02-22 23:03:55",215,154,19.888647,21.280222,151,12,20,43
1645571095,"2022-02-22 23:04:55",209,155,48.428352,22.03273,148,12,48,44
1645571155,"2022-02-22 23:05:55",209,155,87.64769,25.5479,148,12,105,51
1645571215,"2022-02-22 23:06:55",209,0,,,148,0,0,0
1645571275,"2022-02-22 23:07:55",211,154,46.55133,23.680206,149,12,47,47
1645571335,"2022-02-22 23:08:55",218,155,46.996677,25.018858,152,12,47,50
1645571395,"2022-02-22 23:09:55",219,153,31.515228,22.784815,153,12,32,46
1645571455,"2022-02-22 23:10:55",221,154,23.784815,24.665745,154,12,24,49
1645571515,"2022-02-22 23:11:55",224,154,31.16154,18.136477,155,12,31,36
1645571575,"2022-02-22 23:12:55",221,157,32.07697,22.69813,154,13,32,45
1645571635,"2022-02-22 23:13:55",224,156,25.50746,21.482586,155,12,26,43
