timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)"
1649773839,"2022-04-12 14:30:39",0,147,19.781363,3.302714,0,12,20,7
1649773899,"2022-04-12 14:31:39",0,121,22.97749,3.86186,0,10,23,8
1649773959,"2022-04-12 14:32:39",0,116,20.037506,2.751194,0,9,20,6
1649774019,"2022-04-12 14:33:39",0,112,20.767773,3.556336,0,9,21,7
1649774079,"2022-04-12 14:34:39",0,112,21.360723,3.6380212,0,9,21,7
1649774139,"2022-04-12 14:35:39",0,110,21.779144,2.2213235,0,9,22,4
1649774199,"2022-04-12 14:36:39",0,111,3.2213235,1,0,9,3,2
1649774259,"2022-04-12 14:37:39",0,114,20.56331,3.41582,0,9,21,7
1649774319,"2022-04-12 14:38:39",0,114,17.502558,2.6725583,0,9,18,5
1649774379,"2022-04-12 14:39:39",0,115,3.6725583,1,0,9,4,2
1649774439,"2022-04-12 14:40:39",0,117,2,1,0,9,2,2
1649774499,"2022-04-12 14:41:39",0,118,2,1,0,9,2,2
1649774559,"2022-04-12 14:42:39",0,120,2,1,0,10,2,2
1649774619,"2022-04-12 14:43:39",0,124,18.178133,2.24279,0,10,18,4
1649774679,"2022-04-12 14:44:39",0,127,29.12738,3.6938858,0,10,29,7
1649774739,"2022-04-12 14:45:39",0,129,4.693886,1,0,10,5,2
1649774799,"2022-04-12 14:46:39",0,133,2,1,0,11,2,2
1649774859,"2022-04-12 14:47:39",0,134,2,1,0,11,2,2
1649774919,"2022-04-12 14:48:39",0,137,21.897358,4.0729103,0,11,22,8
1649774979,"2022-04-12 14:49:39",0,139,27.047874,3.6423779,0,11,27,7
1649775039,"2022-04-12 14:50:39",0,143,4.642378,1,0,11,5,2
1649775099,"2022-04-12 14:51:39",0,148,23.042442,3.8278077,0,12,23,8
1649775159,"2022-04-12 14:52:39",0,150,17.945007,1.9709586,0,12,18,4
1649775219,"2022-04-12 14:53:39",0,154,2.9709587,1,0,12,3,2
1649775279,"2022-04-12 14:54:39",0,154,2,1,0,12,2,2
1649775339,"2022-04-12 14:55:39",0,158,2,1,0,13,2,2
1649775399,"2022-04-12 14:56:39",0,159,2,1,0,13,2,2
1649775459,"2022-04-12 14:57:39",0,160,2,1,0,13,2,2
1649775519,"2022-04-12 14:58:39",0,161,2,1,0,13,2,2
1649775579,"2022-04-12 14:59:39",0,160,2,1,0,13,2,2
1649775639,"2022-04-12 15:00:39",0,164,18.625124,1.7930492,0,13,19,4
1649775699,"2022-04-12 15:01:39",0,163,19.545544,3.3767653,0,13,20,7
1649775759,"2022-04-12 15:02:39",0,160,4.3767653,1,0,13,4,2
1649775819,"2022-04-12 15:03:39",0,162,2,1,0,13,2,2
1649775879,"2022-04-12 15:04:39",0,164,2,1,0,13,2,2
1649775939,"2022-04-12 15:05:39",0,165,2,1,0,13,2,2
1649775999,"2022-04-12 15:06:39",0,163,2,1,0,13,2,2
1649776059,"2022-04-12 15:07:39",0,164,2,1,0,13,2,2
1649776119,"2022-04-12 15:08:39",0,163,2,1,0,13,2,2
1649776179,"2022-04-12 15:09:39",0,165,2,1,0,13,2,2
1649776239,"2022-04-12 15:10:39",0,164,2,1,0,13,2,2
1649776299,"2022-04-12 15:11:39",0,162,2,1,0,13,2,2
1649776359,"2022-04-12 15:12:39",0,162,2,1,0,13,2,2
1649776419,"2022-04-12 15:13:39",0,163,26.32636,4.335863,0,13,26,9
1649776479,"2022-04-12 15:14:39",0,165,19.39573,2.2560265,0,13,19,5
1649776539,"2022-04-12 15:15:39",0,163,3.2560265,1,0,13,3,2
1649776599,"2022-04-12 15:16:39",0,163,13.822455,1.1138313,0,13,14,2
1649776659,"2022-04-12 15:17:39",0,161,2.1138313,1,0,13,2,2
1649776719,"2022-04-12 15:18:39",0,165,2,1,0,13,2,2
1649776779,"2022-04-12 15:19:39",0,163,2,1,0,13,2,2
1649776839,"2022-04-12 15:20:39",0,162,2,1,0,13,2,2
1649776899,"2022-04-12 15:21:39",0,161,2,1,0,13,2,2
1649776959,"2022-04-12 15:22:39",0,160,16.446224,3.085465,0,13,16,6
1649777019,"2022-04-12 15:23:39",0,161,4.085465,1,0,13,4,2
1649777079,"2022-04-12 15:24:39",0,162,2,1,0,13,2,2
1649777139,"2022-04-12 15:25:39",0,161,7.434256,1.1239117,0,13,7,2
1649777199,"2022-04-12 15:26:39",0,161,2.1239119,1,0,13,2,2
1649777259,"2022-04-12 15:27:39",0,161,2,1,0,13,2,2
1649777319,"2022-04-12 15:28:39",0,161,2,1,0,13,2,2
1649777379,"2022-04-12 15:29:39",0,160,2,1,0,13,2,2
1649777439,"2022-04-12 15:30:39",0,161,20.184042,2.4211667,0,13,20,5
1649777499,"2022-04-12 15:31:39",1,159,20.810345,2.0154152,1,13,21,4
1649777559,"2022-04-12 15:32:39",1,159,3.0154152,1,1,13,3,2
1649777619,"2022-04-12 15:33:39",2,160,2,1,2,13,2,2
1649777679,"2022-04-12 15:34:39",2,159,2,1,2,13,2,2
1649777739,"2022-04-12 15:35:39",2,159,15.3411455,2.0113473,2,13,15,4
1649777799,"2022-04-12 15:36:39",2,160,29.903473,4.8198643,2,13,30,10
1649777859,"2022-04-12 15:37:39",2,160,14.7949705,1,2,13,15,2
1649777919,"2022-04-12 15:38:39",3,158,2,1,3,13,2,2
1649777979,"2022-04-12 15:39:39",3,159,2,1,3,13,2,2
1649778039,"2022-04-12 15:40:39",4,157,2,1,3,13,2,2
1649778099,"2022-04-12 15:41:39",4,157,2,1,4,13,2,2
1649778159,"2022-04-12 15:42:39",4,158,2,1,4,13,2,2
1649778219,"2022-04-12 15:43:39",4,156,2,1,4,12,2,2
1649778279,"2022-04-12 15:44:39",5,157,2,1,5,13,2,2
1649778339,"2022-04-12 15:45:39",5,156,17.174004,1.9908565,5,12,17,4
1649778399,"2022-04-12 15:46:39",5,157,2.9908566,1,5,13,3,2
1649778459,"2022-04-12 15:47:39",5,155,2,1,5,12,2,2
1649778519,"2022-04-12 15:48:39",6,156,14.536628,2.4377737,5,12,15,5
1649778579,"2022-04-12 15:49:39",6,154,3.4377737,1,6,12,3,2
1649778639,"2022-04-12 15:50:39",6,157,25.322582,2.3794913,6,13,25,5
1649778699,"2022-04-12 15:51:39",7,156,3.3794913,1,6,12,3,2
1649778759,"2022-04-12 15:52:39",6,155,2,1,6,12,2,2
1649778819,"2022-04-12 15:53:39",6,155,2,1,6,12,2,2
1649778879,"2022-04-12 15:54:39",7,155,2,1,7,12,2,2
1649778939,"2022-04-12 15:55:39",7,157,2,1,7,13,2,2
1649778999,"2022-04-12 15:56:39",8,157,2,1,7,13,2,2
1649779059,"2022-04-12 15:57:39",8,156,2,1,7,12,2,2
1649779119,"2022-04-12 15:58:39",8,155,12.717349,2.0334218,8,12,13,4
1649779179,"2022-04-12 15:59:39",8,157,3.0334218,1,8,13,3,2
1649779239,"2022-04-12 16:00:39",8,154,2,1,8,12,2,2
1649779299,"2022-04-12 16:01:39",8,159,2,1,8,13,2,2
1649779359,"2022-04-12 16:02:39",9,158,2,1,8,13,2,2
1649779419,"2022-04-12 16:03:39",9,156,2,1,8,12,2,2
1649779479,"2022-04-12 16:04:39",9,155,2,1,8,12,2,2
1649779539,"2022-04-12 16:05:39",9,154,2,1,9,12,2,2
1649779599,"2022-04-12 16:06:39",9,152,2,1,9,12,2,2
1649779659,"2022-04-12 16:07:39",10,154,2,1,9,12,2,2
1649779719,"2022-04-12 16:08:39",10,152,2,1,9,12,2,2
1649779779,"2022-04-12 16:09:39",10,154,2,1,10,12,2,2
1649779839,"2022-04-12 16:10:39",11,152,2,1,10,12,2,2
1649779899,"2022-04-12 16:11:39",10,153,2,1,10,12,2,2
1649779959,"2022-04-12 16:12:39",10,152,2,1,10,12,2,2
1649780019,"2022-04-12 16:13:39",11,152,2,1,10,12,2,2
1649780079,"2022-04-12 16:14:39",11,153,2,1,10,12,2,2
1649780139,"2022-04-12 16:15:39",11,153,2,1,10,12,2,2
1649780199,"2022-04-12 16:16:39",11,155,2,1,10,12,2,2
1649780259,"2022-04-12 16:17:39",11,154,2,1,11,12,2,2
1649780319,"2022-04-12 16:18:39",11,155,2,1,10,12,2,2
1649780379,"2022-04-12 16:19:39",11,156,2,1,10,12,2,2
1649780439,"2022-04-12 16:20:39",11,157,2,1,11,13,2,2
1649780499,"2022-04-12 16:21:39",11,157,2,1,10,13,2,2
1649780559,"2022-04-12 16:22:39",11,158,2,1,10,13,2,2
1649780619,"2022-04-12 16:23:39",11,155,11.83879,1.4489051,11,12,12,3
1649780679,"2022-04-12 16:24:39",11,157,19.936869,6.8460965,11,13,20,14
1649780739,"2022-04-12 16:25:39",12,157,7.8460965,1,11,13,8,2
1649780799,"2022-04-12 16:26:39",12,158,18.201965,2.2881808,11,13,18,5
1649780859,"2022-04-12 16:27:39",12,156,3.2881808,1,11,12,3,2
1649780919,"2022-04-12 16:28:39",12,157,2,1,11,13,2,2
1649780979,"2022-04-12 16:29:39",12,159,2,1,11,13,2,2
1649781039,"2022-04-12 16:30:39",12,158,2,1,12,13,2,2
1649781099,"2022-04-12 16:31:39",12,159,2,1,12,13,2,2
1649781159,"2022-04-12 16:32:39",12,160,2,1,12,13,2,2
1649781219,"2022-04-12 16:33:39",12,158,2,1,12,13,2,2
1649781279,"2022-04-12 16:34:39",12,161,2,1,12,13,2,2
1649781339,"2022-04-12 16:35:39",12,160,2,1,12,13,2,2
1649781399,"2022-04-12 16:36:39",13,160,2,1,12,13,2,2
1649781459,"2022-04-12 16:37:39",12,161,2,1,12,13,2,2
1649781519,"2022-04-12 16:38:39",13,160,2,1,12,13,2,2
1649781579,"2022-04-12 16:39:39",13,160,2,1,12,13,2,2
1649781639,"2022-04-12 16:40:39",13,164,2,1,12,13,2,2
1649781699,"2022-04-12 16:41:39",13,161,2,1,12,13,2,2
1649781759,"2022-04-12 16:42:39",13,159,2,1,12,13,2,2
1649781819,"2022-04-12 16:43:39",13,159,2,1,12,13,2,2
1649781879,"2022-04-12 16:44:39",13,161,2,1,12,13,2,2
1649781939,"2022-04-12 16:45:39",13,161,2,1,12,13,2,2
1649781999,"2022-04-12 16:46:39",13,161,2,1,12,13,2,2
1649782059,"2022-04-12 16:47:39",13,160,2,1,12,13,2,2
1649782119,"2022-04-12 16:48:39",13,162,2,1,12,13,2,2
1649782179,"2022-04-12 16:49:39",13,160,2,1,12,13,2,2
1649782239,"2022-04-12 16:50:39",13,164,2,1,12,13,2,2
1649782299,"2022-04-12 16:51:39",13,162,2,1,12,13,2,2
1649782359,"2022-04-12 16:52:39",13,162,2,1,12,13,2,2
1649782419,"2022-04-12 16:53:39",13,158,2,1,12,13,2,2
1649782479,"2022-04-12 16:54:39",13,160,16.74768,1,13,13,17,2
1649782539,"2022-04-12 16:55:39",13,160,2,1,12,13,2,2
1649782599,"2022-04-12 16:56:39",13,162,2,1,12,13,2,2
1649782659,"2022-04-12 16:57:39",13,162,2,1,13,13,2,2
1649782719,"2022-04-12 16:58:39",13,161,2,1,13,13,2,2
1649782779,"2022-04-12 16:59:39",13,163,2,1,12,13,2,2
1649782839,"2022-04-12 17:00:39",14,163,2,1,13,13,2,2
1649782899,"2022-04-12 17:01:39",13,164,2,1,13,13,2,2
1649782959,"2022-04-12 17:02:39",13,163,2,1,13,13,2,2
1649783019,"2022-04-12 17:03:39",14,162,2,1,13,13,2,2
1649783079,"2022-04-12 17:04:39",13,161,2,1,13,13,2,2
1649783139,"2022-04-12 17:05:39",14,162,2,1,13,13,2,2
1649783199,"2022-04-12 17:06:39",14,162,2,1,13,13,2,2
1649783259,"2022-04-12 17:07:39",14,161,2,1,13,13,2,2
1649783319,"2022-04-12 17:08:39",14,162,2,1,13,13,2,2
1649783379,"2022-04-12 17:09:39",14,161,2,1,13,13,2,2
1649783439,"2022-04-12 17:10:39",14,163,2,1,13,13,2,2
1649783499,"2022-04-12 17:11:39",14,162,2,1,13,13,2,2
1649783559,"2022-04-12 17:12:39",14,167,2,1,13,13,2,2
1649783619,"2022-04-12 17:13:39",13,162,2,1,13,13,2,2
1649783679,"2022-04-12 17:14:39",14,164,2,1,13,13,2,2
1649783739,"2022-04-12 17:15:39",14,162,2,1,13,13,2,2
1649783799,"2022-04-12 17:16:39",14,165,2,1,13,13,2,2
1649783859,"2022-04-12 17:17:39",14,163,2,1,13,13,2,2
1649783919,"2022-04-12 17:18:39",13,162,2,1,13,13,2,2
1649783979,"2022-04-12 17:19:39",14,163,2,1,13,13,2,2
1649784039,"2022-04-12 17:20:39",14,163,2,1,13,13,2,2
1649784099,"2022-04-12 17:21:39",14,164,2,1,13,13,2,2
1649784159,"2022-04-12 17:22:39",14,163,2,1,13,13,2,2
1649784219,"2022-04-12 17:23:39",14,162,2,1,13,13,2,2
1649784279,"2022-04-12 17:24:39",14,164,2,1,13,13,2,2
1649784339,"2022-04-12 17:25:39",14,163,2,1,13,13,2,2
1649784399,"2022-04-12 17:26:39",14,164,2,1,13,13,2,2
1649784459,"2022-04-12 17:27:39",14,163,2,1,13,13,2,2
1649784519,"2022-04-12 17:28:39",14,163,2,1,13,13,2,2
1649784579,"2022-04-12 17:29:39",14,161,2,1,13,13,2,2
1649784639,"2022-04-12 17:30:39",14,163,2,1,13,13,2,2
1649784699,"2022-04-12 17:31:39",14,162,2,1,13,13,2,2
1649784759,"2022-04-12 17:32:39",14,161,2,1,13,13,2,2
1649784819,"2022-04-12 17:33:39",14,162,2,1,13,13,2,2
1649784879,"2022-04-12 17:34:39",14,162,2,1,13,13,2,2
1649784939,"2022-04-12 17:35:39",14,162,2,1,13,13,2,2
1649784999,"2022-04-12 17:36:39",14,163,2,1,13,13,2,2
1649785059,"2022-04-12 17:37:39",14,161,2,1,13,13,2,2
1649785119,"2022-04-12 17:38:39",14,163,2,1,13,13,2,2
1649785179,"2022-04-12 17:39:39",14,161,2,1,13,13,2,2
1649785239,"2022-04-12 17:40:39",14,163,2,1,13,13,2,2
1649785299,"2022-04-12 17:41:39",15,162,2,1,14,13,2,2
1649785359,"2022-04-12 17:42:39",14,163,2,1,13,13,2,2
1649785419,"2022-04-12 17:43:39",14,163,2,1,13,13,2,2
1649785479,"2022-04-12 17:44:39",14,163,2,1,13,13,2,2
1649785539,"2022-04-12 17:45:39",14,163,2,1,13,13,2,2
1649785599,"2022-04-12 17:46:39",15,161,18.531664,3.0411706,14,13,19,6
1649785659,"2022-04-12 17:47:39",15,161,4.0411706,1,14,13,4,2
1649785719,"2022-04-12 17:48:39",15,164,2,1,14,13,2,2
1649785779,"2022-04-12 17:49:39",15,162,2,1,14,13,2,2
1649785839,"2022-04-12 17:50:39",15,161,2,1,14,13,2,2
1649785899,"2022-04-12 17:51:39",15,161,2,1,14,13,2,2
1649785959,"2022-04-12 17:52:39",15,163,2,1,14,13,2,2
1649786019,"2022-04-12 17:53:39",15,161,2,1,14,13,2,2
1649786079,"2022-04-12 17:54:39",15,164,2,1,14,13,2,2
1649786139,"2022-04-12 17:55:39",14,162,2,1,13,13,2,2
1649786199,"2022-04-12 17:56:39",15,161,2,1,14,13,2,2
1649786259,"2022-04-12 17:57:39",15,162,2,1,14,13,2,2
1649786319,"2022-04-12 17:58:39",15,161,2,1,14,13,2,2
1649786379,"2022-04-12 17:59:39",15,161,2,1,14,13,2,2
1649786439,"2022-04-12 18:00:39",15,163,2,1,14,13,2,2
1649786499,"2022-04-12 18:01:39",15,164,2,1,14,13,2,2
1649786559,"2022-04-12 18:02:39",15,160,2,1,14,13,2,2
1649786619,"2022-04-12 18:03:39",15,162,2,1,14,13,2,2
1649786679,"2022-04-12 18:04:39",15,161,2,1,14,13,2,2
1649786739,"2022-04-12 18:05:39",15,164,2,1,14,13,2,2
1649786799,"2022-04-12 18:06:39",15,162,2,1,14,13,2,2
1649786859,"2022-04-12 18:07:39",15,165,2,1,14,13,2,2
1649786919,"2022-04-12 18:08:39",15,162,2,1,14,13,2,2
1649786979,"2022-04-12 18:09:39",15,163,2,1,14,13,2,2
1649787039,"2022-04-12 18:10:39",15,160,2,1,14,13,2,2
1649787099,"2022-04-12 18:11:39",15,163,2,1,14,13,2,2
1649787159,"2022-04-12 18:12:39",15,163,2,1,14,13,2,2
1649787219,"2022-04-12 18:13:39",15,165,2,1,14,13,2,2
1649787279,"2022-04-12 18:14:39",15,162,2,1,14,13,2,2
1649787339,"2022-04-12 18:15:39",15,161,2,1,14,13,2,2
1649787399,"2022-04-12 18:16:39",15,161,20.189875,3.5346024,14,13,20,7
1649787459,"2022-04-12 18:17:39",15,162,4.534602,1,14,13,5,2
1649787519,"2022-04-12 18:18:39",15,160,2,1,14,13,2,2
1649787579,"2022-04-12 18:19:39",15,164,2,1,14,13,2,2
1649787639,"2022-04-12 18:20:39",15,163,2,1,14,13,2,2
1649787699,"2022-04-12 18:21:39",15,162,2,1,14,13,2,2
1649787759,"2022-04-12 18:22:39",15,162,2,1,14,13,2,2
1649787819,"2022-04-12 18:23:39",15,163,2,1,14,13,2,2
1649787879,"2022-04-12 18:24:39",15,164,2,1,14,13,2,2
1649787939,"2022-04-12 18:25:39",15,163,2,1,14,13,2,2
1649787999,"2022-04-12 18:26:39",15,164,2,1,14,13,2,2
1649788059,"2022-04-12 18:27:39",15,162,2,1,14,13,2,2
1649788119,"2022-04-12 18:28:39",16,162,2,1,15,13,2,2
1649788179,"2022-04-12 18:29:39",15,163,2,1,14,13,2,2
1649788239,"2022-04-12 18:30:39",15,161,2,1,14,13,2,2
1649788299,"2022-04-12 18:31:39",16,162,2,1,15,13,2,2
1649788359,"2022-04-12 18:32:39",15,159,8.474367,1,14,13,8,2
1649788419,"2022-04-12 18:33:39",16,161,2,1,15,13,2,2
1649788479,"2022-04-12 18:34:39",15,161,2,1,14,13,2,2
1649788539,"2022-04-12 18:35:39",15,160,2,1,14,13,2,2
1649788599,"2022-04-12 18:36:39",16,162,2,1,15,13,2,2
1649788659,"2022-04-12 18:37:39",16,162,2,1,15,13,2,2
1649788719,"2022-04-12 18:38:39",16,161,2,1,15,13,2,2
1649788779,"2022-04-12 18:39:39",15,162,2,1,14,13,2,2
1649788839,"2022-04-12 18:40:39",15,162,2,1,14,13,2,2
1649788899,"2022-04-12 18:41:39",16,162,2,1,15,13,2,2
1649788959,"2022-04-12 18:42:39",16,164,2,1,15,13,2,2
1649789019,"2022-04-12 18:43:39",15,163,2,1,14,13,2,2
1649789079,"2022-04-12 18:44:39",15,160,2,1,14,13,2,2
1649789139,"2022-04-12 18:45:39",16,163,2,1,15,13,2,2
1649789199,"2022-04-12 18:46:39",15,163,2,1,14,13,2,2
1649789259,"2022-04-12 18:47:39",16,163,2,1,15,13,2,2
1649789319,"2022-04-12 18:48:39",16,162,2,1,15,13,2,2
1649789379,"2022-04-12 18:49:39",16,162,2,1,15,13,2,2
1649789439,"2022-04-12 18:50:39",16,162,2,1,15,13,2,2
1649789499,"2022-04-12 18:51:39",16,165,2,1,15,13,2,2
1649789559,"2022-04-12 18:52:39",16,159,2,1,15,13,2,2
1649789619,"2022-04-12 18:53:39",16,161,2,1,15,13,2,2
1649789679,"2022-04-12 18:54:39",16,162,2,1,15,13,2,2
1649789739,"2022-04-12 18:55:39",16,161,2,1,15,13,2,2
1649789799,"2022-04-12 18:56:39",16,163,2,1,15,13,2,2
1649789859,"2022-04-12 18:57:39",16,162,2,1,15,13,2,2
1649789919,"2022-04-12 18:58:39",16,162,2,1,15,13,2,2
1649789979,"2022-04-12 18:59:39",16,161,2,1,15,13,2,2
1649790039,"2022-04-12 19:00:39",16,159,2,1,15,13,2,2
1649790099,"2022-04-12 19:01:39",16,161,2,1,15,13,2,2
1649790159,"2022-04-12 19:02:39",16,163,8.7897415,1,15,13,9,2
1649790219,"2022-04-12 19:03:39",16,162,2,1,15,13,2,2
1649790279,"2022-04-12 19:04:39",16,163,2,1,15,13,2,2
1649790339,"2022-04-12 19:05:39",16,163,2,1,15,13,2,2
1649790399,"2022-04-12 19:06:39",16,163,2,1,15,13,2,2
1649790459,"2022-04-12 19:07:39",16,162,2,1,15,13,2,2
1649790519,"2022-04-12 19:08:39",16,163,2,1,15,13,2,2
1649790579,"2022-04-12 19:09:39",16,162,2,1,15,13,2,2
1649790639,"2022-04-12 19:10:39",16,162,2,1,15,13,2,2
1649790699,"2022-04-12 19:11:39",16,161,2,1,15,13,2,2
1649790759,"2022-04-12 19:12:39",17,162,2,1,16,13,2,2
1649790819,"2022-04-12 19:13:39",16,163,2,1,15,13,2,2
1649790879,"2022-04-12 19:14:39",16,162,2,1,15,13,2,2
1649790939,"2022-04-12 19:15:39",16,163,2,1,15,13,2,2
1649790999,"2022-04-12 19:16:39",16,163,2,1,15,13,2,2
1649791059,"2022-04-12 19:17:39",16,162,2,1,15,13,2,2
1649791119,"2022-04-12 19:18:39",17,163,2,1,16,13,2,2
1649791179,"2022-04-12 19:19:39",16,162,2,1,15,13,2,2
1649791239,"2022-04-12 19:20:39",17,161,2,1,16,13,2,2
1649791299,"2022-04-12 19:21:39",16,162,2,1,15,13,2,2
1649791359,"2022-04-12 19:22:39",17,163,2,1,16,13,2,2
1649791419,"2022-04-12 19:23:39",16,163,2,1,15,13,2,2
1649791479,"2022-04-12 19:24:39",17,161,2,1,16,13,2,2
1649791539,"2022-04-12 19:25:39",17,163,2,1,16,13,2,2
1649791599,"2022-04-12 19:26:39",16,163,2,1,15,13,2,2
1649791659,"2022-04-12 19:27:39",17,164,2,1,16,13,2,2
1649791719,"2022-04-12 19:28:39",17,163,2,1,16,13,2,2
1649791779,"2022-04-12 19:29:39",17,162,2,1,16,13,2,2
1649791839,"2022-04-12 19:30:39",17,162,2,1,16,13,2,2
1649791899,"2022-04-12 19:31:39",17,163,2,1,16,13,2,2
1649791959,"2022-04-12 19:32:39",17,160,2,1,16,13,2,2
1649792019,"2022-04-12 19:33:39",17,161,2,1,16,13,2,2
1649792079,"2022-04-12 19:34:39",17,162,2,1,16,13,2,2
1649792139,"2022-04-12 19:35:39",17,163,2,1,16,13,2,2
1649792199,"2022-04-12 19:36:39",17,162,2,1,16,13,2,2
1649792259,"2022-04-12 19:37:39",17,161,2,1,16,13,2,2
1649792319,"2022-04-12 19:38:39",17,163,2,1,16,13,2,2
1649792379,"2022-04-12 19:39:39",17,160,2,1,16,13,2,2
1649792439,"2022-04-12 19:40:39",17,161,2,1,16,13,2,2
1649792499,"2022-04-12 19:41:39",17,165,2,1,16,13,2,2
1649792559,"2022-04-12 19:42:39",17,161,2,1,16,13,2,2
1649792619,"2022-04-12 19:43:39",17,163,2,1,16,13,2,2
1649792679,"2022-04-12 19:44:39",17,163,2,1,16,13,2,2
1649792739,"2022-04-12 19:45:39",17,161,2,1,16,13,2,2
1649792799,"2022-04-12 19:46:39",17,161,2,1,16,13,2,2
1649792859,"2022-04-12 19:47:39",17,164,2,1,16,13,2,2
1649792919,"2022-04-12 19:48:39",17,164,2,1,16,13,2,2
1649792979,"2022-04-12 19:49:39",17,161,2,1,16,13,2,2
1649793039,"2022-04-12 19:50:39",17,161,2,1,16,13,2,2
1649793099,"2022-04-12 19:51:39",17,164,2,1,16,13,2,2
1649793159,"2022-04-12 19:52:39",17,161,2,1,16,13,2,2
1649793219,"2022-04-12 19:53:39",17,161,2,1,16,13,2,2
