timestamp,latitudine,longitudine,PM10 (ug/m3)
1645566969,45.057735,7.680927,1.000000
1645566969,45.057735,7.680927,2.000000
1645568758,45.057732,7.680942,41.093536
1645568758,45.057732,7.680942,20.914776
1645569043,45.057732,7.680934,32.432968
1645569043,45.057732,7.680934,25.713684
1645569314,45.057735,7.680927,33.535538
1645569314,45.057735,7.680927,45.049248
1645569585,45.057739,7.680928,16.579988
1645569585,45.057739,7.680928,29.025558
1645569855,45.057735,7.680928,24.184410
1645569855,45.057735,7.680928,19.593565
1645570037,45.057816,7.680275,21.559067
1645570037,45.057816,7.680275,22.677876
1645570069,45.057732,7.680934,22.677876
1645570129,45.057739,7.680923,22.677876
1645570129,45.057739,7.680923,43.538128
1645570429,45.057739,7.680937,24.105782
1645570429,45.057739,7.680937,28.831226
1645571892,45.057816,7.680275,37.867130
1645571892,45.057816,7.680275,28.605289
1645571924,45.057739,7.680929,28.605289
1645576568,45.057743,7.680928,18.534983
1645576568,45.057743,7.680928,24.626528
1645576807,45.057484,7.681425,19.718267
1645576807,45.057484,7.681425,30.699860
1645583695,45.057739,7.680931,23.855618
1645583988,45.057735,7.680926,46.162918
1645583988,45.057735,7.680926,39.374268
1645584011,45.057209,7.678146,39.374268
1645584011,45.057209,7.678146,14.001733
1645584048,45.057739,7.680920,14.001733
1645584197,45.057701,7.681987,20.256001
1645584197,45.057701,7.681987,21.971701
1645584212,45.057190,7.681358,21.971701
1645584228,45.057739,7.680927,21.971701
1645584258,45.057735,7.680935,21.971701
1645584258,45.057735,7.680935,39.291584
1645596988,45.057732,7.680934,24.786854
1645596988,45.057732,7.680934,18.842493
1645597268,45.057735,7.680941,34.387436
1645597268,45.057735,7.680941,25.121614
1645597548,45.057743,7.680946,23.713858
1645597548,45.057743,7.680946,40.204449
1645597825,45.057728,7.680979,7.949974
1645597825,45.057728,7.680979,9.337130
1645597919,45.057606,7.681681,7.106949
1645597919,45.057606,7.681681,5.401648
1645597932,45.057133,7.681589,5.401648
1645597966,45.057140,7.682268,5.401648
1645597983,45.057175,7.682735,5.401648
1645597983,45.057175,7.682735,5.734927
1645598014,45.057552,7.682775,5.734927
1645598048,45.058037,7.683154,5.734927
1645598048,45.058037,7.683154,5.818370
1645598079,45.058376,7.683526,5.818370
1645598089,45.059433,7.683495,5.818370
1645598110,45.059856,7.683531,5.818370
1645598110,45.059856,7.683531,2.000000
1645598144,45.059074,7.683952,2.000000
1645598171,45.059570,7.684159,2.000000
1645598171,45.059570,7.684159,2.000000
1645598197,45.060181,7.684221,2.000000
1645598237,45.060471,7.685051,2.000000
1645598237,45.060471,7.685051,2.000000
1645598274,45.060921,7.685166,2.000000
1645598296,45.061180,7.685358,2.000000
1645598296,45.061180,7.685358,2.000000
1645598330,45.061691,7.685322,2.000000
1645598388,45.062168,7.685642,2.000000
1645598388,45.062168,7.685642,2.000000
1645598421,45.062843,7.686462,2.000000
1645598421,45.062843,7.686462,2.000000
1645598452,45.063374,7.686730,2.000000
1645598460,45.062302,7.685800,2.000000
1645598460,45.062302,7.685800,2.000000
1645598553,45.062805,7.686282,2.000000
1645598553,45.062805,7.686282,2.000000
1645598611,45.064846,7.687895,2.000000
1645598611,45.064846,7.687895,7.389998
1645598639,45.063236,7.686732,7.389998
1645598639,45.063236,7.686732,18.635897
1645598654,45.065704,7.688639,18.635897
1645598670,45.065895,7.689274,18.635897
1645598736,45.066628,7.689596,18.635897
1645598736,45.066628,7.689596,5.514327
1645598767,45.066978,7.689506,5.514327
1645598767,45.066978,7.689506,9.460725
1645598798,45.067345,7.689673,9.460725
1645598831,45.067604,7.690020,9.460725
1645598831,45.067604,7.690020,6.194911
1645598891,45.068096,7.690337,6.194911
1645598891,45.068096,7.690337,5.261632
1645598958,45.068165,7.690258,5.261632
1645598958,45.068165,7.690258,11.357926
1645598965,45.068378,7.690326,11.357926
1645598989,45.068581,7.690661,11.357926
1645599020,45.068928,7.690967,11.357926
1645599020,45.068928,7.690967,10.791680
1645599054,45.069401,7.691101,10.791680
1645599085,45.069901,7.691491,10.791680
1645599085,45.069901,7.691491,9.152130
1645599106,45.070171,7.691352,9.152130
1645599140,45.070377,7.691792,9.152130
1645599140,45.070377,7.691792,6.229392
1645599177,45.071335,7.692380,6.229392
1645599177,45.071335,7.692380,7.554523
1645599211,45.070625,7.691939,7.554523
