timestamp,latitudine,longitudine,PM25 (ug/m3)
1645566969,45.057735,7.680927,1.000000
1645566969,45.057735,7.680927,1.000000
1645568758,45.057732,7.680942,19.914776
1645568758,45.057732,7.680942,25.140491
1645569043,45.057732,7.680934,18.709616
1645569043,45.057732,7.680934,13.517406
1645569314,45.057735,7.680927,13.642240
1645569314,45.057735,7.680927,21.423668
1645569585,45.057739,7.680928,17.976274
1645569585,45.057739,7.680928,28.321655
1645569855,45.057735,7.680928,18.593565
1645569855,45.057735,7.680928,17.160612
1645570037,45.057816,7.680275,21.677876
1645570037,45.057816,7.680275,20.627041
1645570069,45.057732,7.680934,20.627041
1645570129,45.057739,7.680923,20.627041
1645570129,45.057739,7.680923,19.108999
1645570429,45.057739,7.680937,18.971691
1645570429,45.057739,7.680937,20.077019
1645571892,45.057816,7.680275,27.605289
1645571892,45.057816,7.680275,20.055964
1645571924,45.057739,7.680929,20.055964
1645576568,45.057743,7.680928,19.839304
1645576568,45.057743,7.680928,22.498421
1645576807,45.057484,7.681425,17.468342
1645576807,45.057484,7.681425,19.505503
1645583695,45.057739,7.680931,9.383882
1645583988,45.057735,7.680926,11.864104
1645583988,45.057735,7.680926,8.337608
1645584011,45.057209,7.678146,8.337608
1645584011,45.057209,7.678146,11.887600
1645584048,45.057739,7.680920,11.887600
1645584197,45.057701,7.681987,9.054770
1645584197,45.057701,7.681987,11.656466
1645584212,45.057190,7.681358,11.656466
1645584228,45.057739,7.680927,11.656466
1645584258,45.057735,7.680935,11.656466
1645584258,45.057735,7.680935,11.169069
1645596988,45.057732,7.680934,10.630159
1645596988,45.057732,7.680934,2.047747
1645597268,45.057735,7.680941,8.727404
1645597268,45.057735,7.680941,4.059991
1645597548,45.057743,7.680946,4.270470
1645597548,45.057743,7.680946,8.791031
1645597825,45.057728,7.680979,8.337130
1645597825,45.057728,7.680979,6.106949
1645597919,45.057606,7.681681,4.401648
1645597919,45.057606,7.681681,2.186718
1645597932,45.057133,7.681589,2.186718
1645597966,45.057140,7.682268,2.186718
1645597983,45.057175,7.682735,2.186718
1645597983,45.057175,7.682735,4.818370
1645598014,45.057552,7.682775,4.818370
1645598048,45.058037,7.683154,4.818370
1645598048,45.058037,7.683154,1.000000
1645598079,45.058376,7.683526,1.000000
1645598089,45.059433,7.683495,1.000000
1645598110,45.059856,7.683531,1.000000
1645598110,45.059856,7.683531,1.000000
1645598144,45.059074,7.683952,1.000000
1645598171,45.059570,7.684159,1.000000
1645598171,45.059570,7.684159,1.000000
1645598197,45.060181,7.684221,1.000000
1645598237,45.060471,7.685051,1.000000
1645598237,45.060471,7.685051,1.000000
1645598274,45.060921,7.685166,1.000000
1645598296,45.061180,7.685358,1.000000
1645598296,45.061180,7.685358,1.000000
1645598330,45.061691,7.685322,1.000000
1645598388,45.062168,7.685642,1.000000
1645598388,45.062168,7.685642,1.000000
1645598421,45.062843,7.686462,1.000000
1645598421,45.062843,7.686462,1.000000
1645598452,45.063374,7.686730,1.000000
1645598460,45.062302,7.685800,1.000000
1645598460,45.062302,7.685800,1.000000
1645598553,45.062805,7.686282,1.000000
1645598553,45.062805,7.686282,6.389998
1645598611,45.064846,7.687895,6.389998
1645598611,45.064846,7.687895,17.635897
1645598639,45.063236,7.686732,17.635897
1645598639,45.063236,7.686732,4.514327
1645598654,45.065704,7.688639,4.514327
1645598670,45.065895,7.689274,4.514327
1645598736,45.066628,7.689596,4.514327
1645598736,45.066628,7.689596,8.460725
1645598767,45.066978,7.689506,8.460725
1645598767,45.066978,7.689506,5.194911
1645598798,45.067345,7.689673,5.194911
1645598831,45.067604,7.690020,5.194911
1645598831,45.067604,7.690020,4.261632
1645598891,45.068096,7.690337,4.261632
1645598891,45.068096,7.690337,10.357926
1645598958,45.068165,7.690258,10.357926
1645598958,45.068165,7.690258,9.791680
1645598965,45.068378,7.690326,9.791680
1645598989,45.068581,7.690661,9.791680
1645599020,45.068928,7.690967,9.791680
1645599020,45.068928,7.690967,8.152130
1645599054,45.069401,7.691101,8.152130
1645599085,45.069901,7.691491,8.152130
1645599085,45.069901,7.691491,5.229392
1645599106,45.070171,7.691352,5.229392
1645599140,45.070377,7.691792,5.229392
1645599140,45.070377,7.691792,6.554523
1645599177,45.071335,7.692380,6.554523
1645599177,45.071335,7.692380,7.544426
1645599211,45.070625,7.691939,7.544426
1645599243,45.071239,7.692713,7.544426
1645599243,45.071239,7.692713,4.554111
1645599275,45.071400,7.693103,4.554111
1645599277,45.071091,7.692333,4.554111
1645599307,45.071239,7.692930,4.554111
1645599307,45.071239,7.692930,1.000000
1645599337,45.071560,7.693149,1.000000
1645599369,45.071331,7.692647,1.000000
1645599369,45.071331,7.692647,1.000000
1645599432,45.071373,7.693195,1.000000
1645599432,45.071373,7.693195,1.504656
1645599454,45.071167,7.692674,1.504656
1645599524,45.071453,7.693069,1.504656
1645599524,45.071453,7.693069,1.000000
1645599587,45.071255,7.693397,1.000000
1645599587,45.071255,7.693397,1.000000
1645599619,45.071175,7.692706,1.000000
1645599619,45.071175,7.692706,1.000000
1645599714,45.070698,7.692418,1.000000
1645599714,45.070698,7.692418,1.000000
1645599763,45.070969,7.692883,1.000000
1645599763,45.070969,7.692883,1.000000
1645599776,45.070614,7.692773,1.000000
1645599776,45.070614,7.692773,1.000000
1645599824,45.070454,7.693094,1.000000
1645599837,45.070629,7.692736,1.000000
1645599837,45.070629,7.692736,1.000000
1645599947,45.070568,7.693184,1.000000
1645599947,45.070568,7.693184,1.650475
1645599993,45.070652,7.692683,1.650475
1645599993,45.070652,7.692683,1.000000
1645600174,45.070980,7.692649,4.399937
1645600174,45.070980,7.692649,1.429303
1645600211,45.070591,7.692674,1.429303
1645600211,45.070591,7.692674,1.000000
1645600276,45.070984,7.692254,1.000000
1645600276,45.070984,7.692254,1.764239
1645600307,45.070621,7.692732,1.764239
1645601547,45.070698,7.692270,5.273074
1645601547,45.070698,7.692270,6.806921
1645601574,45.070652,7.692721,6.806921
1645601933,45.070690,7.692338,4.544161
1645601933,45.070690,7.692338,5.134813
1645601974,45.070648,7.692731,5.134813
1645601974,45.070648,7.692731,2.335728
1645603218,45.070850,7.692416,4.610356
1645603218,45.070850,7.692416,3.102163
1645603293,45.070545,7.692450,3.102163
1645603293,45.070545,7.692450,5.509778
1645603354,45.070293,7.692201,5.509778
1645603354,45.070293,7.692201,6.082938
1645603480,45.070583,7.692244,3.990321
1645603480,45.070583,7.692244,7.320189
1645603543,45.070274,7.692073,7.320189
1645603543,45.070274,7.692073,6.260215
1645603728,45.070538,7.692400,10.302289
1645603728,45.070538,7.692400,33.380905
1645603790,45.070827,7.692594,33.380905
1645603790,45.070827,7.692594,3.637415
1645603801,45.070454,7.691542,3.637415
1645603801,45.070454,7.691542,5.870901
1645603821,45.071026,7.692829,5.870901
1645603870,45.070721,7.691567,5.870901
1645603870,45.070721,7.691567,6.072308
1645603886,45.071049,7.692812,6.072308
